"imdb_id"	"synopsis_source"
"tt0272207"	"imdb"
"tt0108598"	"wikipedia"
"tt0054240"	"wikipedia"
"tt0369436"	"imdb"
"tt1114740"	"wikipedia"
"tt0083156"	"imdb"
"tt0164334"	"imdb"
"tt0054850"	"imdb"
"tt2739708"	"wikipedia"
"tt2724064"	"imdb"
"tt0058461"	"wikipedia"
"tt0058372"	"imdb"
"tt1273204"	"imdb"
"tt0009968"	"imdb"
"tt1093908"	"imdb"
"tt0455590"	"imdb"
"tt0409904"	"imdb"
"tt0080319"	"imdb"
"tt1418377"	"imdb"
"tt0066206"	"imdb"
"tt0071853"	"imdb"
"tt0317919"	"wikipedia"
"tt2167266"	"imdb"
"tt0100150"	"imdb"
"tt0105236"	"imdb"
"tt1437212"	"imdb"
"tt0120207"	"imdb"
"tt0375154"	"wikipedia"
"tt0429493"	"wikipedia"
"tt0080684"	"imdb"
"tt0057012"	"imdb"
"tt0120777"	"wikipedia"
"tt0074084"	"imdb"
"tt1232200"	"imdb"
"tt0138510"	"imdb"
"tt0123950"	"wikipedia"
"tt0109830"	"wikipedia"
"tt0365686"	"imdb"
"tt0057581"	"imdb"
"tt0110877"	"imdb"
"tt0042192"	"imdb"
"tt0293662"	"imdb"
"tt0082186"	"wikipedia"
"tt3076658"	"imdb"
"tt1486834"	"wikipedia"
"tt0473367"	"wikipedia"
"tt0124901"	"wikipedia"
"tt1959409"	"wikipedia"
"tt4258698"	"imdb"
"tt0097579"	"imdb"
"tt0048021"	"wikipedia"
"tt0107808"	"imdb"
"tt0265298"	"imdb"
"tt1422020"	"wikipedia"
"tt0038559"	"imdb"
"tt5814914"	"wikipedia"
"tt1156395"	"imdb"
"tt0058777"	"wikipedia"
"tt0033021"	"imdb"
"tt2182229"	"imdb"
"tt0066516"	"imdb"
"tt0110005"	"imdb"
"tt0093986"	"imdb"
"tt0055022"	"imdb"
"tt0041598"	"imdb"
"tt0040369"	"imdb"
"tt4052886"	"imdb"
"tt0133985"	"imdb"
"tt0960731"	"imdb"
"tt0411061"	"imdb"
"tt0131624"	"imdb"
"tt0088247"	"imdb"
"tt0106950"	"imdb"
"tt0094625"	"imdb"
"tt0055499"	"imdb"
"tt1316037"	"wikipedia"
"tt0995039"	"wikipedia"
"tt0104797"	"imdb"
"tt1289406"	"imdb"
"tt1536044"	"imdb"
"tt0090329"	"imdb"
"tt0146316"	"wikipedia"
"tt0049833"	"imdb"
"tt0041604"	"wikipedia"
"tt0097332"	"wikipedia"
"tt0213985"	"wikipedia"
"tt1381404"	"wikipedia"
"tt1161864"	"imdb"
"tt0119174"	"imdb"
"tt0385752"	"imdb"
"tt0120913"	"imdb"
"tt0090903"	"imdb"
"tt0061802"	"imdb"
"tt0090866"	"wikipedia"
"tt0349825"	"imdb"
"tt0074611"	"imdb"
"tt0346934"	"imdb"
"tt1714209"	"imdb"
"tt1604171"	"imdb"
"tt0069897"	"imdb"
"tt0119099"	"imdb"
"tt0253754"	"wikipedia"
"tt0127357"	"imdb"
"tt1284575"	"wikipedia"
"tt0217756"	"imdb"
"tt0042832"	"imdb"
"tt0318374"	"imdb"
"tt1128075"	"imdb"
"tt1590796"	"imdb"
"tt1517260"	"wikipedia"
"tt0103924"	"wikipedia"
"tt0348836"	"wikipedia"
"tt1305797"	"wikipedia"
"tt0245674"	"imdb"
"tt0307987"	"wikipedia"
"tt0071361"	"wikipedia"
"tt2870756"	"imdb"
"tt0339294"	"wikipedia"
"tt0096320"	"wikipedia"
"tt0252076"	"wikipedia"
"tt1078588"	"wikipedia"
"tt1251357"	"imdb"
"tt0404496"	"imdb"
"tt0070735"	"imdb"
"tt1139328"	"wikipedia"
"tt0897361"	"wikipedia"
"tt0306047"	"wikipedia"
"tt0079261"	"imdb"
"tt0065377"	"imdb"
"tt0039152"	"wikipedia"
"tt0081562"	"imdb"
"tt1316536"	"wikipedia"
"tt0454224"	"imdb"
"tt1465478"	"imdb"
"tt1389137"	"wikipedia"
"tt0101745"	"wikipedia"
"tt0404032"	"imdb"
"tt0062794"	"imdb"
"tt1334512"	"imdb"
"tt0482606"	"imdb"
"tt0113568"	"imdb"
"tt0046359"	"imdb"
"tt0051201"	"imdb"
"tt0427229"	"imdb"
"tt1188113"	"imdb"
"tt0072431"	"wikipedia"
"tt0120894"	"imdb"
"tt0080120"	"imdb"
"tt0087747"	"imdb"
"tt4016934"	"imdb"
"tt0069947"	"imdb"
"tt0062446"	"imdb"
"tt0086034"	"imdb"
"tt0454970"	"wikipedia"
"tt1489889"	"imdb"
"tt0460791"	"imdb"
"tt3300542"	"imdb"
"tt0054743"	"wikipedia"
"tt0058946"	"imdb"
"tt0047162"	"wikipedia"
"tt1981115"	"wikipedia"
"tt0082570"	"imdb"
"tt1817273"	"wikipedia"
"tt0062909"	"imdb"
"tt0114863"	"imdb"
"tt0416508"	"imdb"
"tt0167261"	"imdb"
"tt0118159"	"wikipedia"
"tt0365376"	"imdb"
"tt0357139"	"imdb"
"tt0120188"	"imdb"
"tt0298130"	"imdb"
"tt0096734"	"imdb"
"tt0079020"	"imdb"
"tt0119488"	"imdb"
"tt1337032"	"wikipedia"
"tt0247745"	"imdb"
"tt2882328"	"imdb"
"tt0118647"	"imdb"
"tt2918386"	"imdb"
"tt0094332"	"imdb"
"tt1334553"	"wikipedia"
"tt0047577"	"imdb"
"tt0100436"	"imdb"
"tt0949731"	"imdb"
"tt3152624"	"imdb"
"tt1337057"	"imdb"
"tt0120586"	"imdb"
"tt0072085"	"wikipedia"
"tt0372784"	"imdb"
"tt0051174"	"imdb"
"tt0037558"	"wikipedia"
"tt0088939"	"wikipedia"
"tt1365030"	"wikipedia"
"tt0425112"	"imdb"
"tt0077235"	"imdb"
"tt1800763"	"wikipedia"
"tt0185371"	"imdb"
"tt0091799"	"imdb"
"tt1225822"	"imdb"
"tt1045772"	"imdb"
"tt0386789"	"wikipedia"
"tt1308650"	"imdb"
"tt0086425"	"imdb"
"tt0067690"	"imdb"
"tt0775489"	"imdb"
"tt0116830"	"imdb"
"tt0059126"	"imdb"
"tt0386005"	"imdb"
"tt0265208"	"wikipedia"
"tt0367479"	"imdb"
"tt1924429"	"wikipedia"
"tt1877832"	"imdb"
"tt0072308"	"wikipedia"
"tt1572315"	"imdb"
"tt1723121"	"imdb"
"tt0085356"	"imdb"
"tt1216520"	"imdb"
"tt0112527"	"imdb"
"tt0059800"	"wikipedia"
"tt0218817"	"wikipedia"
"tt0047444"	"imdb"
"tt0058586"	"imdb"
"tt0327679"	"imdb"
"tt0120768"	"wikipedia"
"tt0109809"	"imdb"
"tt1321865"	"imdb"
"tt0380599"	"wikipedia"
"tt0122690"	"imdb"
"tt0179626"	"imdb"
"tt0071402"	"imdb"
"tt0410097"	"wikipedia"
"tt0032390"	"imdb"
"tt1130088"	"imdb"
"tt0065794"	"imdb"
"tt0219854"	"imdb"
"tt0068615"	"imdb"
"tt0415978"	"wikipedia"
"tt2278388"	"imdb"
"tt1229405"	"imdb"
"tt0079714"	"imdb"
"tt0263975"	"imdb"
"tt1720616"	"wikipedia"
"tt1024715"	"wikipedia"
"tt1229822"	"wikipedia"
"tt0060794"	"imdb"
"tt0758784"	"imdb"
"tt0092965"	"imdb"
"tt0066315"	"imdb"
"tt0079489"	"wikipedia"
"tt0469966"	"imdb"
"tt0076759"	"imdb"
"tt0113636"	"imdb"
"tt0417072"	"imdb"
"tt0049674"	"wikipedia"
"tt0469916"	"imdb"
"tt0316465"	"imdb"
"tt0054289"	"imdb"
"tt0212830"	"wikipedia"
"tt0102926"	"wikipedia"
"tt0465142"	"wikipedia"
"tt2287677"	"imdb"
"tt0375735"	"wikipedia"
"tt0065073"	"imdb"
"tt0408236"	"wikipedia"
"tt0387131"	"wikipedia"
"tt1448755"	"wikipedia"
"tt0266489"	"wikipedia"
"tt2140479"	"imdb"
"tt3294200"	"imdb"
"tt2513074"	"imdb"
"tt0468492"	"wikipedia"
"tt1399683"	"wikipedia"
"tt1366365"	"wikipedia"
"tt1524095"	"imdb"
"tt0067328"	"wikipedia"
"tt0055928"	"wikipedia"
"tt2125542"	"imdb"
"tt1188729"	"imdb"
"tt3863814"	"imdb"
"tt0117951"	"imdb"
"tt1316622"	"wikipedia"
"tt3231054"	"imdb"
"tt0110638"	"wikipedia"
"tt0102975"	"imdb"
"tt0062765"	"wikipedia"
"tt0425061"	"imdb"
"tt0428870"	"imdb"
"tt0082592"	"wikipedia"
"tt2554274"	"imdb"
"tt0095863"	"imdb"
"tt0060865"	"imdb"
"tt2294629"	"imdb"
"tt1706365"	"imdb"
"tt0368709"	"imdb"
"tt0102526"	"imdb"
"tt1210042"	"imdb"
"tt0427582"	"imdb"
"tt0318411"	"wikipedia"
"tt0081207"	"wikipedia"
"tt0083033"	"imdb"
"tt0890870"	"imdb"
"tt0089489"	"imdb"
"tt0220470"	"imdb"
"tt3553442"	"imdb"
"tt1232783"	"wikipedia"
"tt0089907"	"imdb"
"tt1007029"	"imdb"
"tt0105227"	"imdb"
"tt1823672"	"imdb"
"tt0035640"	"imdb"
"tt0058700"	"imdb"
"tt0817230"	"imdb"
"tt1408101"	"imdb"
"tt0082817"	"imdb"
"tt1082601"	"imdb"
"tt1980185"	"imdb"
"tt0477347"	"imdb"
"tt0758758"	"wikipedia"
"tt0482571"	"imdb"
"tt0111507"	"imdb"
"tt0459748"	"imdb"
"tt0033787"	"imdb"
"tt2025690"	"imdb"
"tt0069281"	"imdb"
"tt0065979"	"imdb"
"tt0245686"	"imdb"
"tt0096446"	"wikipedia"
"tt0074860"	"imdb"
"tt0338013"	"wikipedia"
"tt1714206"	"wikipedia"
"tt2119532"	"imdb"
"tt0119528"	"imdb"
"tt2177771"	"wikipedia"
"tt0053994"	"wikipedia"
"tt0373926"	"wikipedia"
"tt2125435"	"imdb"
"tt0079367"	"wikipedia"
"tt0359013"	"imdb"
"tt2139579"	"imdb"
"tt0401855"	"imdb"
"tt0095963"	"wikipedia"
"tt0041386"	"imdb"
"tt0017136"	"wikipedia"
"tt1656186"	"imdb"
"tt1981677"	"imdb"
"tt0061573"	"imdb"
"tt0780504"	"imdb"
"tt0056626"	"imdb"
"tt0246460"	"imdb"
"tt0078346"	"imdb"
"tt0056592"	"imdb"
"tt0175526"	"wikipedia"
"tt0127723"	"imdb"
"tt0135659"	"imdb"
"tt0112819"	"imdb"
"tt0217142"	"wikipedia"
"tt0955308"	"imdb"
"tt0021815"	"imdb"
"tt0049646"	"wikipedia"
"tt0021749"	"imdb"
"tt0037644"	"imdb"
"tt0120915"	"imdb"
"tt0043315"	"imdb"
"tt0082966"	"imdb"
"tt0308152"	"imdb"
"tt1235166"	"wikipedia"
"tt0477080"	"imdb"
"tt1430132"	"imdb"
"tt0094997"	"wikipedia"
"tt0450188"	"imdb"
"tt0237934"	"imdb"
"tt0091326"	"imdb"
"tt0103074"	"imdb"
"tt0377062"	"imdb"
"tt0906108"	"imdb"
"tt0297284"	"wikipedia"
"tt0098546"	"imdb"
"tt0362227"	"imdb"
"tt1939659"	"imdb"
"tt0481580"	"imdb"
"tt0107614"	"wikipedia"
"tt0808506"	"imdb"
"tt1646926"	"wikipedia"
"tt0963194"	"imdb"
"tt0053802"	"imdb"
"tt1650062"	"imdb"
"tt2872718"	"imdb"
"tt1726669"	"imdb"
"tt0480025"	"wikipedia"
"tt0078934"	"imdb"
"tt0057443"	"imdb"
"tt0093011"	"wikipedia"
"tt0037365"	"wikipedia"
"tt0497972"	"wikipedia"
"tt0477302"	"imdb"
"tt0105112"	"imdb"
"tt0054310"	"imdb"
"tt0069738"	"imdb"
"tt0097289"	"wikipedia"
"tt0068408"	"wikipedia"
"tt0120185"	"wikipedia"
"tt0905994"	"imdb"
"tt0337921"	"imdb"
"tt3531824"	"imdb"
"tt0110823"	"imdb"
"tt0247638"	"wikipedia"
"tt0278731"	"imdb"
"tt0000417"	"imdb"
"tt0055830"	"imdb"
"tt0107448"	"imdb"
"tt1625346"	"wikipedia"
"tt1475582"	"imdb"
"tt0448124"	"wikipedia"
"tt0124198"	"imdb"
"tt2543164"	"imdb"
"tt0070666"	"imdb"
"tt0166843"	"wikipedia"
"tt0456912"	"wikipedia"
"tt3385516"	"imdb"
"tt0990361"	"imdb"
"tt1290135"	"wikipedia"
"tt0100114"	"wikipedia"
"tt1220719"	"imdb"
"tt0077578"	"imdb"
"tt2140203"	"imdb"
"tt1626201"	"wikipedia"
"tt0116414"	"imdb"
"tt0086896"	"imdb"
"tt2321549"	"wikipedia"
"tt0318462"	"imdb"
"tt0337563"	"wikipedia"
"tt2180411"	"imdb"
"tt1853728"	"imdb"
"tt0082910"	"imdb"
"tt0366627"	"imdb"
"tt0455407"	"wikipedia"
"tt0087078"	"wikipedia"
"tt0086823"	"imdb"
"tt1343092"	"imdb"
"tt0079082"	"imdb"
"tt3060952"	"imdb"
"tt1111422"	"wikipedia"
"tt0096256"	"imdb"
"tt1905042"	"wikipedia"
"tt0246464"	"imdb"
"tt0974536"	"imdb"
"tt2280302"	"imdb"
"tt0395972"	"imdb"
"tt2190838"	"wikipedia"
"tt1060249"	"imdb"
"tt0086960"	"imdb"
"tt0272790"	"imdb"
"tt0388482"	"wikipedia"
"tt0113347"	"wikipedia"
"tt0961108"	"wikipedia"
"tt1103153"	"imdb"
"tt1022603"	"imdb"
"tt0119517"	"wikipedia"
"tt0118589"	"imdb"
"tt0318081"	"wikipedia"
"tt0039331"	"imdb"
"tt1714203"	"imdb"
"tt0067309"	"wikipedia"
"tt0083972"	"imdb"
"tt0114781"	"wikipedia"
"tt0863136"	"imdb"
"tt0256380"	"wikipedia"
"tt0316356"	"wikipedia"
"tt0488658"	"imdb"
"tt0088178"	"imdb"
"tt0120616"	"imdb"
"tt0119282"	"imdb"
"tt0099582"	"imdb"
"tt0162677"	"imdb"
"tt0065513"	"imdb"
"tt0056714"	"wikipedia"
"tt1401152"	"imdb"
"tt1194263"	"imdb"
"tt0110907"	"imdb"
"tt0115433"	"wikipedia"
"tt0060636"	"imdb"
"tt0109370"	"wikipedia"
"tt0464054"	"imdb"
"tt0397535"	"wikipedia"
"tt0376479"	"imdb"
"tt1315962"	"imdb"
"tt1037011"	"wikipedia"
"tt0420238"	"wikipedia"
"tt0367093"	"imdb"
"tt2334873"	"wikipedia"
"tt1389096"	"wikipedia"
"tt0064276"	"wikipedia"
"tt1101051"	"imdb"
"tt0398378"	"imdb"
"tt1821681"	"imdb"
"tt3063516"	"imdb"
"tt0083081"	"wikipedia"
"tt0099165"	"imdb"
"tt0058404"	"imdb"
"tt1043842"	"wikipedia"
"tt1097013"	"imdb"
"tt0080527"	"imdb"
"tt0082031"	"imdb"
"tt0071276"	"wikipedia"
"tt0080461"	"imdb"
"tt0276751"	"imdb"
"tt0061809"	"imdb"
"tt0119643"	"imdb"
"tt1049956"	"wikipedia"
"tt0116409"	"wikipedia"
"tt1945084"	"imdb"
"tt1568346"	"imdb"
"tt0087957"	"imdb"
"tt0101889"	"imdb"
"tt0290673"	"wikipedia"
"tt0083190"	"wikipedia"
"tt0070603"	"imdb"
"tt0347618"	"imdb"
"tt0043899"	"wikipedia"
"tt0120791"	"wikipedia"
"tt0808417"	"wikipedia"
"tt0785016"	"imdb"
"tt0073341"	"wikipedia"
"tt0084021"	"wikipedia"
"tt0094716"	"imdb"
"tt0196267"	"imdb"
"tt0219699"	"imdb"
"tt0052379"	"imdb"
"tt1134854"	"imdb"
"tt0036809"	"imdb"
"tt0100201"	"wikipedia"
"tt1245112"	"wikipedia"
"tt2740710"	"wikipedia"
"tt0050613"	"wikipedia"
"tt0884732"	"imdb"
"tt2005151"	"imdb"
"tt1059786"	"imdb"
"tt0107282"	"wikipedia"
"tt1474276"	"wikipedia"
"tt3316960"	"imdb"
"tt0113161"	"imdb"
"tt2719848"	"imdb"
"tt0077416"	"wikipedia"
"tt0069280"	"imdb"
"tt0239023"	"imdb"
"tt0248126"	"imdb"
"tt1865567"	"imdb"
"tt1827487"	"imdb"
"tt0043456"	"wikipedia"
"tt0144120"	"imdb"
"tt0052846"	"imdb"
"tt0311289"	"imdb"
"tt0944840"	"imdb"
"tt0102685"	"imdb"
"tt0462229"	"imdb"
"tt0079946"	"wikipedia"
"tt0147800"	"imdb"
"tt0362004"	"wikipedia"
"tt0093777"	"imdb"
"tt0038499"	"imdb"
"tt2661536"	"imdb"
"tt1949720"	"imdb"
"tt0414731"	"imdb"
"tt0048254"	"imdb"
"tt2377322"	"imdb"
"tt1133985"	"imdb"
"tt1758575"	"imdb"
"tt0074920"	"imdb"
"tt1492030"	"imdb"
"tt0117731"	"imdb"
"tt0104237"	"imdb"
"tt0096787"	"imdb"
"tt0030287"	"imdb"
"tt0067656"	"imdb"
"tt0240684"	"imdb"
"tt1410063"	"imdb"
"tt0087056"	"wikipedia"
"tt0098382"	"imdb"
"tt0092890"	"imdb"
"tt2317225"	"wikipedia"
"tt0435679"	"imdb"
"tt0800080"	"imdb"
"tt0054331"	"wikipedia"
"tt2278871"	"imdb"
"tt0133952"	"imdb"
"tt0363163"	"imdb"
"tt0061852"	"wikipedia"
"tt0252866"	"imdb"
"tt0299117"	"imdb"
"tt0126886"	"imdb"
"tt1071875"	"imdb"
"tt1298650"	"wikipedia"
"tt0349683"	"imdb"
"tt0079501"	"imdb"
"tt0426883"	"imdb"
"tt1504320"	"wikipedia"
"tt1188990"	"wikipedia"
"tt0317740"	"wikipedia"
"tt0116209"	"imdb"
"tt0033436"	"wikipedia"
"tt0311361"	"imdb"
"tt1139282"	"imdb"
"tt0834102"	"imdb"
"tt0082449"	"imdb"
"tt0057115"	"wikipedia"
"tt0118829"	"wikipedia"
"tt0268978"	"imdb"
"tt0780622"	"wikipedia"
"tt0770829"	"imdb"
"tt1675434"	"imdb"
"tt0036695"	"wikipedia"
"tt1797530"	"imdb"
"tt0076723"	"imdb"
"tt3147312"	"imdb"
"tt0078966"	"imdb"
"tt1991245"	"imdb"
"tt0094862"	"wikipedia"
"tt3235888"	"imdb"
"tt0058155"	"imdb"
"tt0067491"	"wikipedia"
"tt0387514"	"imdb"
"tt2674426"	"imdb"
"tt0093300"	"wikipedia"
"tt0072443"	"imdb"
"tt0161081"	"wikipedia"
"tt1454468"	"imdb"
"tt1742044"	"imdb"
"tt0082639"	"wikipedia"
"tt0080079"	"imdb"
"tt0033922"	"imdb"
"tt0001915"	"wikipedia"
"tt0083801"	"wikipedia"
"tt0084719"	"wikipedia"
"tt0084234"	"wikipedia"
"tt0081398"	"wikipedia"
"tt0837565"	"imdb"
"tt0098350"	"imdb"
"tt0411906"	"imdb"
"tt0078437"	"imdb"
"tt0101393"	"imdb"
"tt0377471"	"imdb"
"tt0109439"	"wikipedia"
"tt0061184"	"wikipedia"
"tt2126355"	"imdb"
"tt0097428"	"wikipedia"
"tt0079817"	"imdb"
"tt2094766"	"imdb"
"tt0339489"	"imdb"
"tt0095608"	"imdb"
"tt0073486"	"imdb"
"tt2395385"	"imdb"
"tt0032484"	"wikipedia"
"tt0443453"	"imdb"
"tt1067583"	"imdb"
"tt0831887"	"imdb"
"tt0773262"	"imdb"
"tt0791304"	"wikipedia"
"tt0082351"	"imdb"
"tt0424136"	"imdb"
"tt0081248"	"imdb"
"tt0111973"	"imdb"
"tt1467304"	"wikipedia"
"tt0060666"	"wikipedia"
"tt0064780"	"imdb"
"tt0220100"	"imdb"
"tt0808357"	"wikipedia"
"tt0058567"	"imdb"
"tt0884224"	"imdb"
"tt0070814"	"imdb"
"tt0976026"	"imdb"
"tt0068817"	"imdb"
"tt0023649"	"imdb"
"tt0257756"	"imdb"
"tt2446980"	"imdb"
"tt0040522"	"imdb"
"tt0143860"	"imdb"
"tt0070468"	"imdb"
"tt0083658"	"imdb"
"tt0100409"	"wikipedia"
"tt0104029"	"imdb"
"tt0104691"	"imdb"
"tt1502404"	"wikipedia"
"tt0066132"	"imdb"
"tt0462465"	"wikipedia"
"tt1214962"	"wikipedia"
"tt0171580"	"wikipedia"
"tt0416185"	"imdb"
"tt0049964"	"imdb"
"tt0324216"	"imdb"
"tt0049656"	"imdb"
"tt3059776"	"imdb"
"tt0951318"	"imdb"
"tt1323594"	"imdb"
"tt0089767"	"imdb"
"tt0068284"	"wikipedia"
"tt0120815"	"imdb"
"tt0760311"	"imdb"
"tt0170691"	"wikipedia"
"tt0120694"	"imdb"
"tt0876563"	"imdb"
"tt1431045"	"imdb"
"tt0100828"	"wikipedia"
"tt0481536"	"wikipedia"
"tt1020885"	"wikipedia"
"tt1600196"	"imdb"
"tt0455967"	"wikipedia"
"tt2428170"	"imdb"
"tt0810913"	"imdb"
"tt0081633"	"imdb"
"tt0870117"	"imdb"
"tt0046446"	"imdb"
"tt1130080"	"imdb"
"tt0065214"	"imdb"
"tt0210047"	"imdb"
"tt0050957"	"imdb"
"tt0078239"	"imdb"
"tt1591095"	"imdb"
"tt0050099"	"imdb"
"tt0076168"	"imdb"
"tt0190138"	"wikipedia"
"tt0065126"	"wikipedia"
"tt4573800"	"imdb"
"tt0249008"	"wikipedia"
"tt0442933"	"imdb"
"tt0112427"	"wikipedia"
"tt2267968"	"imdb"
"tt0108211"	"imdb"
"tt0042248"	"wikipedia"
"tt0068416"	"imdb"
"tt0051746"	"imdb"
"tt1731697"	"imdb"
"tt1302169"	"imdb"
"tt0100507"	"wikipedia"
"tt0069113"	"imdb"
"tt0083767"	"imdb"
"tt0035169"	"imdb"
"tt1285010"	"imdb"
"tt0097390"	"wikipedia"
"tt0383574"	"imdb"
"tt0183505"	"wikipedia"
"tt0364045"	"imdb"
"tt2172584"	"wikipedia"
"tt0087803"	"wikipedia"
"tt0123755"	"imdb"
"tt0070948"	"imdb"
"tt0387808"	"imdb"
"tt0070012"	"wikipedia"
"tt0089264"	"imdb"
"tt0076252"	"imdb"
"tt0019884"	"imdb"
"tt0482930"	"imdb"
"tt1055369"	"wikipedia"
"tt1512235"	"imdb"
"tt0087884"	"imdb"
"tt0171698"	"imdb"
"tt0470752"	"imdb"
"tt0371257"	"imdb"
"tt0796264"	"wikipedia"
"tt0462329"	"imdb"
"tt1535109"	"imdb"
"tt0133152"	"wikipedia"
"tt0104155"	"wikipedia"
"tt0111438"	"imdb"
"tt0492962"	"imdb"
"tt0070046"	"wikipedia"
"tt1334260"	"imdb"
"tt1605717"	"imdb"
"tt0465602"	"imdb"
"tt1235522"	"imdb"
"tt0052227"	"imdb"
"tt0491152"	"imdb"
"tt0113762"	"imdb"
"tt0039757"	"imdb"
"tt0038057"	"imdb"
"tt1499249"	"wikipedia"
"tt1852770"	"imdb"
"tt2024519"	"imdb"
"tt0060522"	"imdb"
"tt0090022"	"imdb"
"tt1706593"	"imdb"
"tt1259571"	"imdb"
"tt0480239"	"imdb"
"tt2375379"	"wikipedia"
"tt0353489"	"imdb"
"tt0094035"	"imdb"
"tt0090660"	"wikipedia"
"tt0097240"	"wikipedia"
"tt0203019"	"imdb"
"tt0417385"	"wikipedia"
"tt1017451"	"imdb"
"tt0086969"	"imdb"
"tt0032551"	"wikipedia"
"tt0387037"	"imdb"
"tt5052524"	"imdb"
"tt1790885"	"imdb"
"tt0494243"	"imdb"
"tt0095705"	"wikipedia"
"tt2910814"	"wikipedia"
"tt1382250"	"imdb"
"tt0418773"	"wikipedia"
"tt0074455"	"imdb"
"tt0366758"	"imdb"
"tt0033870"	"imdb"
"tt0382628"	"imdb"
"tt1637725"	"wikipedia"
"tt0076028"	"imdb"
"tt0319262"	"wikipedia"
"tt0107468"	"imdb"
"tt0118636"	"wikipedia"
"tt1235796"	"wikipedia"
"tt0045061"	"imdb"
"tt1549572"	"wikipedia"
"tt1232047"	"imdb"
"tt0448694"	"imdb"
"tt1114677"	"imdb"
