"imdb_id"	"title"	"tags"
"tt0107289"	"Jungledyret"	"insanity, psychedelic"
"tt0037415"	"The Uninvited"	"insanity, gothic, atmospheric, haunting"
"tt0974661"	"17 Again"	"romantic, humor"
"tt1094581"	"BioShock"	"alternate reality"
"tt0119360"	"In & Out"	"queer"
"tt1029231"	"Krrish 3"	"good versus evil, romantic"
"tt0383534"	"Noel"	"dramatic"
"tt0112740"	"Crimson Tide"	"cult, suspenseful, comedy"
"tt3949660"	"Teenage Mutant Ninja Turtles: Out of the Shadows"	"comedy, violence, good versus evil, psychedelic, humor, revenge"
"tt0388795"	"Brokeback Mountain"	"boring, depressing, realism, murder, stupid, violence, queer, flashback, tragedy, romantic, sentimental"
"tt0058182"	"A Hard Day's Night"	"cult, comedy, psychedelic"
"tt0042593"	"In a Lonely Place"	"violence, suspenseful, humor, murder, storytelling"
"tt0401815"	"Tamara"	"revenge, gothic, murder, violence, prank"
"tt0112851"	"Desperado"	"comedy, mystery, neo noir, cult, revenge, violence, flashback, good versus evil, humor, action, romantic"
"tt0298148"	"Shrek 2"	"comedy, fantasy, cult, violence, humor, satire, romantic, entertaining"
"tt0068816"	"Kozure Ôkami: Sanzu no kawa no ubaguruma"	"good versus evil, violence"
"tt1980929"	"Begin Again"	"romantic, flashback"
"tt0063671"	"Targets"	"cult, suspenseful"
"tt0117008"	"Matilda"	"comedy, fantasy, cruelty, paranormal, dramatic, cute, cult, clever"
"tt3032476"	"Better Call Saul"	"comedy"
"tt0486946"	"Wild Hogs"	"humor"
"tt0372183"	"The Bourne Supremacy"	"suspenseful, boring, violence, flashback, action, revenge"
"tt0399934"	"Zombie Honeymoon"	"tragedy, romantic"
"tt3181776"	"Momentum"	"comedy, murder, violence, flashback, humor, revenge, sadist"
"tt0272207"	"Narc"	"dark, neo noir, realism, murder, bleak, violence, flashback, suspenseful"
"tt0108598"	"The Wrong Trousers"	"psychedelic, comedy, cute, entertaining, humor"
"tt0054240"	"Orgy of the Dead"	"cult"
"tt0369436"	"Four Christmases"	"romantic"
"tt1114740"	"Paul Blart: Mall Cop"	"cult, comedy, stupid, violence, comic"
"tt0083156"	"Die Säge des Todes"	"comedy, cruelty, murder, cult, violence, plot twist, revenge, sadist"
"tt0164334"	"Along Came a Spider"	"plot twist, mystery, murder"
"tt0054850"	"Ercole al centro della Terra"	"good versus evil, violence"
"tt2739708"	"Assassin's Creed IV: Black Flag"	"action"
"tt2724064"	"Sharknado"	"absurd, cult, violence"
"tt0058461"	"Per un pugno di dollari"	"comedy, murder, realism, western, violence, good versus evil, humor, action, revenge, sadist"
"tt0058372"	"Moonshine Mountain"	"murder"
"tt1273204"	"Il compleanno"	"home movie"
"tt0009968"	"Broken Blossoms or The Yellow Man and the Girl"	"violence, murder, melodrama"
"tt1093908"	"Confessions of a Shopaholic"	"romantic, cute, feel-good"
"tt0455590"	"The Last King of Scotland"	"dark, murder, dramatic, violence, flashback, philosophical, historical"
"tt0409904"	"Dnevnoy dozor"	"murder, cult, atmospheric, flashback, good versus evil, psychedelic"
"tt0080319"	"Nine to Five"	"revenge, satire"
"tt1418377"	"I, Frankenstein"	"murder, paranormal, violence, flashback, good versus evil, psychedelic, revenge"
"tt0066206"	"Patton"	"violence, boring, historical"
"tt0071853"	"Monty Python and the Holy Grail"	"comedy, murder, cult, violence, psychedelic, absurd, satire, humor, entertaining"
"tt0317919"	"Mission: Impossible III"	"murder, violence, good versus evil, psychedelic, action, suspenseful, sadist"
"tt2167266"	"Tracks"	"flashback"
"tt0100150"	"Miller's Crossing"	"comedy, boring, neo noir, murder, dramatic, cult, violence, atmospheric, psychedelic, romantic, suspenseful, entertaining"
"tt0105236"	"Reservoir Dogs"	"comedy, dark, neo noir, murder, boring, suspenseful, mystery, dramatic, violence, cult, sadist, flashback, psychedelic, humor, claustrophobic, tragedy, plot twist, storytelling"
"tt1437212"	"Gölgesizler"	"psychedelic, suspenseful"
"tt0120207"	"Steel"	"violence, blaxploitation"
"tt0375154"	"Tristan + Isolde"	"murder, violence, revenge, historical fiction, tragedy, romantic"
"tt0429493"	"The A-Team"	"comedy, murder, violence, flashback, clever, psychedelic, action, revenge, entertaining"
"tt0080684"	"Star Wars: Episode V - The Empire Strikes Back"	"dark, fantasy, mystery, cult, violence, good versus evil, action, tragedy"
"tt0057012"	"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb"	"dark, comedy, dramatic, cult, violence, absurd, humor, satire, psychedelic, suspenseful, entertaining"
"tt0120777"	"The Opposite of Sex"	"comedy, murder, cult, satire, romantic, home movie"
"tt0074084"	"Novecento"	"cruelty, murder, violence, flashback, insanity, absurd, romantic, revenge, sadist"
"tt1232200"	"That's My Boy"	"humor"
"tt0138510"	"Idle Hands"	"comedy, murder, stupid, cult, violence, good versus evil, entertaining"
"tt0123950"	"The Land Before Time V: The Mysterious Island"	"psychedelic"
"tt0109830"	"Forrest Gump"	"comedy, psychological, stupid, whimsical, dramatic, cult, cute, clever, flashback, historical fiction, psychedelic, humor, action, feel-good, melodrama, inspiring, romantic, historical, entertaining, sentimental"
"tt0365686"	"Revolver"	"psychological, murder, violence, cult, flashback, clever, philosophical, sadist"
"tt0057581"	"The Thrill of It All"	"comedy"
"tt0110877"	"Il postino"	"boring"
"tt0042192"	"All About Eve"	"psychological, satire, flashback"
"tt0293662"	"The Transporter"	"comedy, cult, revenge, action, murder"
"tt0082186"	"Clash of the Titans"	"cult, revenge, psychedelic"
"tt3076658"	"Creed"	"flashback"
"tt1486834"	"The F Word"	"romantic"
"tt0473367"	"Jaane Tu... Ya Jaane Na"	"flashback"
"tt0124901"	"Thursday"	"dark, comedy, neo noir, murder, cult, sadist, violence, flashback, claustrophobic, revenge, storytelling"
"tt1959409"	"Imaginaerum"	"fantasy, sentimental, flashback"
"tt4258698"	"Southside with You"	"romantic, historical"
"tt0097579"	"An Innocent Man"	"revenge, murder"
"tt0048021"	"Du rififi chez les hommes"	"suspenseful, murder, bleak, violence, cult, atmospheric, romantic, revenge"
"tt0107808"	"A Perfect World"	"cult, violence"
"tt0265298"	"Big Fat Liar"	"revenge, prank"
"tt1422020"	"Dog Pound"	"pornographic, violence"
"tt0038559"	"Gilda"	"intrigue, murder"
"tt5814914"	"GirlFight: inVite"	"gothic, murder, realism, cult, violence, good versus evil, plot twist, sadist, sci-fi"
"tt1156395"	"K-20: Kaijin nijû mensô den"	"romantic, mystery, action, sci-fi"
"tt0058777"	"Zulu"	"cult, historical"
"tt0033021"	"Santa Fe Trail"	"violence, murder, romantic"
"tt2182229"	"The Neighbors"	"satire"
"tt0066516"	"Valerie a týden divu"	"fantasy, allegory, cult, flashback, psychedelic, sadist"
"tt0110005"	"Heavenly Creatures"	"fantasy, psychological, murder, boring, cult, violence, revenge, flashback, insanity, psychedelic, melodrama, romantic, queer"
"tt0093986"	"Slam Dance"	"neo noir, murder, flashback"
"tt0055022"	"Gli invasori"	"cult, cruelty, violence"
"tt0041598"	"Long-Haired Hare"	"psychedelic"
"tt0040369"	"Fort Apache"	"cult"
"tt4052886"	"Lucifer"	"good versus evil, paranormal"
"tt0133985"	"A Murder of Crows"	"murder"
"tt0960731"	"Bedtime Stories"	"psychedelic, cute, entertaining, romantic"
"tt0411061"	"88 Minutes"	"neo noir, murder, violence, flashback, suspenseful, sadist"
"tt0131624"	"UFO: Target Earth"	"psychedelic"
"tt0088247"	"The Terminator"	"mystery, gothic, murder, neo noir, bleak, dramatic, cult, violence, action, romantic, suspenseful, alternate history, sci-fi"
"tt0106950"	"Fortress"	"insanity, cult, violence"
"tt0094625"	"Akira"	"murder, stupid, paranormal, anti war, cult, violence, atmospheric, flashback, psychedelic, action, romantic, comic, revenge, alternate history, sci-fi"
"tt0055499"	"Såsom i en spegel"	"bleak, insanity, atmospheric"
"tt1316037"	"Birdemic: Shock and Terror"	"cult"
"tt0995039"	"Ghost Town"	"entertaining"
"tt0104797"	"Malcolm X"	"murder, cult, violence, flashback, historical, blaxploitation"
"tt1289406"	"Harry Brown"	"neo noir, murder, thought-provoking, cult, revenge, violence, flashback, suspenseful, sadist"
"tt1536044"	"Paranormal Activity 2"	"cult, boring, murder"
"tt0090329"	"Witness"	"mystery, neo noir, murder, realism, dramatic, violence, romantic, suspenseful"
"tt0146316"	"Lara Croft: Tomb Raider"	"cult, action, murder, boring"
"tt0049833"	"The Ten Commandments"	"violence, murder, melodrama"
"tt0041604"	"Love Happy"	"humor"
"tt0097332"	"Far from Home"	"romantic, murder, prank"
"tt0213985"	"Partition"	"romantic"
"tt1381404"	"The Company You Keep"	"anti war, romantic, avant garde, murder"
"tt1161864"	"The Rite"	"mystery, suspenseful, psychological, flashback"
"tt0119174"	"The Game"	"dark, psychological, neo noir, mystery, atmospheric, plot twist, psychedelic, action, tragedy, suspenseful"
"tt0385752"	"The Golden Compass"	"fantasy, boring, violence, intrigue, alternate reality, psychedelic, storytelling, sci-fi"
"tt0120913"	"Titan A.E."	"cult, murder, violence, romantic"
"tt0090903"	"Il miele del diavolo"	"sadist"
"tt0061802"	"Ich war neunzehn"	"autobiographical, murder"
"tt0090866"	"Combat Shock"	"tragedy, cult, murder, violence, flashback"
"tt0349825"	"Miracle"	"inspiring"
"tt0074611"	"Full Circle"	"gothic, haunting"
"tt0346934"	"Embrace the Darkness 3"	"pornographic"
"tt1714209"	"In the Land of Blood and Honey"	"revenge, murder, violence, flashback"
"tt1604171"	"Prom"	"romantic"
"tt0069897"	"Coffy"	"dark, cruelty, murder, neo noir, cult, sadist, violence, action, romantic, revenge, blaxploitation"
"tt0119099"	"Fallen"	"comedy, suspenseful, gothic, murder, neo noir, boring, paranormal, cult, violence, plot twist, flashback, good versus evil, insanity, psychedelic, philosophical, revenge"
"tt0253754"	"Star Trek: Nemesis"	"violence, flashback"
"tt0127357"	"Ngo si seoi"	"comedy, murder, stupid, cult, violence, flashback, absurd, suspenseful, entertaining"
"tt1284575"	"Bad Teacher"	"comedy, adult comedy, intrigue, absurd, romantic, revenge"
"tt0217756"	"Ready to Rumble"	"revenge, cult, violence"
"tt0042832"	"Panic in the Streets"	"murder"
"tt0318374"	"The Cooler"	"violence, psychedelic, murder, storytelling"
"tt1128075"	"Ai no mukidashi"	"pornographic, cult, romantic, brainwashing, plot twist, sadist"
"tt1590796"	"Sentô shôjo: Chi no tekkamen densetsu"	"violence, murder"
"tt1517260"	"The Host"	"revenge, psychedelic, murder, romantic, flashback"
"tt0103924"	"Captain Ron"	"cult, comedy"
"tt0348836"	"Gothika"	"psychological, neo noir, gothic, murder, paranormal, violence, horror, flashback, insanity, romantic, suspenseful"
"tt1305797"	"Enthiran"	"romantic"
"tt0245674"	"Thir13en Ghosts"	"murder, stupid, paranormal, violence, psychedelic, revenge"
"tt0307987"	"Bad Santa"	"comedy, dark, murder, adult comedy, cult, suicidal, violence, humor, melodrama"
"tt0071361"	"Coonskin"	"comedy, cult, violence, absurd, psychedelic, satire, humor, blaxploitation"
"tt2870756"	"Magic in the Moonlight"	"romantic, cute, philosophical, plot twist"
"tt0339294"	"Leprechaun: Back 2 tha Hood"	"paranormal, cult"
"tt0096320"	"Twins"	"comedy, entertaining"
"tt0252076"	"Maid in Manhattan"	"romantic, fantasy"
"tt1078588"	"My Sister's Keeper"	"tragedy, home movie"
"tt1251357"	"Moonshot"	"historical"
"tt0404496"	"Thralls"	"pornographic, violence, murder, flashback"
"tt0070735"	"The Sting"	"boring, depressing, murder, cult, plot twist, clever, inspiring, revenge, entertaining"
"tt1139328"	"The Ghost Writer"	"boring, mystery, murder, dramatic, intrigue, atmospheric, suspenseful"
"tt0897361"	"I Know Who Killed Me"	"dark, cruelty, murder, violence, flashback, revenge, sadist"
"tt0306047"	"Scary Movie 3"	"comedy, adult comedy, stupid, paranormal, bleak, cult, horror, humor"
"tt0079261"	"Hair"	"anti war, cult, romantic, flashback"
"tt0065377"	"Airport"	"cult, suspenseful, melodrama"
"tt0039152"	"Angel and the Badman"	"revenge, comedy, violence"
"tt0081562"	"Stir Crazy"	"comedy"
"tt1316536"	"The Loved Ones"	"suspenseful, cruelty, murder, violence, horror, clever, insanity, romantic, revenge, sadist"
"tt0454224"	"Penny Dreadful"	"violence, murder, flashback"
"tt1465478"	"Die"	"suicidal, flashback"
"tt1389137"	"We Bought a Zoo"	"feel-good"
"tt0101745"	"Doc Hollywood"	"comedy, boring"
"tt0404032"	"The Exorcism of Emily Rose"	"good versus evil, psychological, murder, flashback"
"tt0062794"	"Charly"	"tragedy, psychological, philosophical, prank"
"tt1334512"	"Arthur"	"entertaining, stupid"
"tt0482606"	"The Strangers"	"violence, suspenseful, murder, boring, flashback"
"tt0113568"	"Kôkaku Kidôtai"	"neo noir, murder, cult, violence, alternate reality, psychedelic, philosophical, suspenseful, sci-fi"
"tt0046359"	"Stalag 17"	"comedy"
"tt0051201"	"Witness for the Prosecution"	"dramatic, mystery, murder"
"tt0427229"	"Failure to Launch"	"entertaining"
"tt1188113"	"Peacock"	"murder, flashback"
"tt0072431"	"Young Frankenstein"	"cult, comedy, gothic, satire, humor"
"tt0120894"	"The Wisdom of Crocodiles"	"cult, murder, storytelling, romantic"
"tt0080120"	"The Warriors"	"suspenseful, realism, murder, cult, violence, revenge"
"tt0087747"	"Moscow on the Hudson"	"flashback"
"tt4016934"	"Ah-ga-ssi"	"plot twist, comedy, romantic"
"tt0069947"	"The Day of the Jackal"	"avant garde, mystery, murder, intrigue, historical fiction, suspenseful, historical"
"tt0062446"	"Le viol du vampire"	"psychedelic, gothic"
"tt0086034"	"Octopussy"	"revenge, cult, murder"
"tt0454970"	"Turistas"	"violence, murder"
"tt1489889"	"Central Intelligence"	"comedy, murder, violence, flashback, revenge, prank"
"tt0460791"	"The Fall"	"comedy, boring, fantasy, cult, flashback, psychedelic, revenge, storytelling, sentimental"
"tt3300542"	"London Has Fallen"	"comedy, murder, violence, good versus evil, humor, revenge"
"tt0054743"	"The Children's Hour"	"tragedy, romantic, queer"
"tt0058946"	"La battaglia di Algeri"	"avant garde, murder, realism, cult, violence, flashback, revenge, historical, sadist"
"tt0047162"	"The Last Time I Saw Paris"	"romantic, melodrama"
"tt1981115"	"Thor: The Dark World"	"murder, violence, flashback, good versus evil, psychedelic, humor, revenge"
"tt0082570"	"It's Magic, Charlie Brown"	"psychedelic"
"tt1817273"	"The Place Beyond the Pines"	"revenge, psychological, violence"
"tt0062909"	"Dracula Has Risen from the Grave"	"revenge, cult, gothic"
"tt0114863"	"To vlemma tou Odyssea"	"murder"
"tt0416508"	"Becoming Jane"	"romantic"
"tt0167261"	"The Lord of the Rings: The Two Towers"	"mystery, boring, fantasy, anti war, cult, violence, atmospheric, flashback, good versus evil, action, melodrama, tragedy, romantic"
"tt0118159"	"White Tiger"	"murder"
"tt0365376"	"Janghwa, Hongryeon"	"suspenseful, cruelty, psychological, gothic, cult, violence, atmospheric, flashback, insanity, psychedelic, claustrophobic, tragedy, romantic"
"tt0357139"	"Scooby-Doo! And the Legend of the Vampire"	"psychedelic, horror"
"tt0120188"	"Three Kings"	"comedy, murder, anti war, violence, thought-provoking, humor, satire, suspenseful"
"tt0298130"	"The Ring"	"fantasy, suspenseful, murder, mystery, stupid, paranormal, horror, flashback, good versus evil, psychedelic, revenge"
"tt0096734"	"The 'Burbs"	"comedy, mystery, gothic, intrigue, insanity, psychedelic"
"tt0079020"	"¡Que Viva Mexico! - Da zdravstvuyet Meksika!"	"romantic, murder"
"tt0119488"	"L.A. Confidential"	"dark, suspenseful, neo noir, murder, boring, mystery, dramatic, violence, flashback, tragedy, revenge"
"tt1337032"	"Trailer Park Boys: Countdown to Liquor Day"	"comedy, entertaining"
"tt0247745"	"Super Troopers"	"cult, comedy, boring, prank"
"tt2882328"	"Ugly"	"flashback"
"tt0118647"	"The Assignment"	"revenge, murder, violence"
"tt2918386"	"Funny Show Part Two: The Video - Movie"	"satire"
"tt0094332"	"The Witches of Eastwick"	"comedy"
"tt1334553"	"The Perfect Host"	"plot twist, psychedelic, flashback"
"tt0047577"	"This Island Earth"	"cult"
"tt0100436"	"Pump Up the Volume"	"cult, philosophical"
"tt0949731"	"The Happening"	"romantic, violence"
"tt3152624"	"Trainwreck"	"romantic"
"tt1337057"	"Rampage"	"violence, dark, murder"
"tt0120586"	"American History X"	"suspenseful, murder, dramatic, cult, violence, thought-provoking, flashback, clever, tragedy, brainwashing, revenge, sentimental"
"tt0072085"	"Il ritorno di Zanna Bianca"	"murder"
"tt0372784"	"Batman Begins"	"dark, mystery, gothic, murder, neo noir, realism, stupid, thought-provoking, cult, revenge, violence, atmospheric, flashback, good versus evil, action, philosophical, comic, suspenseful"
"tt0051174"	"Voodoo Woman"	"murder"
"tt0037558"	"Brief Encounter"	"romantic, flashback"
"tt0088939"	"The Color Purple"	"romantic, melodrama"
"tt1365030"	"Madrasapattinam"	"violence, historical fiction"
"tt0425112"	"Hot Fuzz"	"comedy, boring, murder, stupid, cult, violence, flashback, absurd, humor, action, psychedelic, brainwashing, entertaining"
"tt0077235"	"Big Wednesday"	"cult, philosophical"
"tt1800763"	"Uncharted 3: Drake's Deception"	"violence"
"tt0185371"	"House on Haunted Hill"	"comedy, gothic, murder, paranormal, violence, haunting, insanity, psychedelic, revenge, sadist"
"tt0091799"	"Psycho III"	"insanity, violence, murder, flashback"
"tt1225822"	"Extract"	"comedy, humor, entertaining"
"tt1045772"	"I Love You Phillip Morris"	"comedy, queer, entertaining, romantic, flashback"
"tt0386789"	"The Simpsons: Hit & Run"	"violence"
"tt1308650"	"Kozí príbeh"	"psychedelic, fantasy"
"tt0086425"	"Terms of Endearment"	"romantic, suspenseful, sentimental, melodrama"
"tt0067690"	"Les lèvres rouges"	"gothic, murder, violence, cult, atmospheric, haunting, psychedelic, revenge"
"tt0775489"	"L'illusionniste"	"tragedy"
"tt0116830"	"Last Man Standing"	"neo noir, murder, violence, good versus evil, action, romantic, revenge"
"tt0059126"	"Dr. Who and the Daleks"	"good versus evil"
"tt0386005"	"San ging chaat goo si"	"comedy, neo noir, murder, violence, cult, flashback, good versus evil, insanity, melodrama, tragedy, revenge, sadist"
"tt0265208"	"The Girl Next Door"	"pornographic, prank, flashback"
"tt0367479"	"After the Sunset"	"flashback"
"tt1924429"	"Trance"	"comedy, psychological, neo noir, murder, mystery, violence, revenge, plot twist, flashback, psychedelic, romantic"
"tt1877832"	"X-Men: Days of Future Past"	"suspenseful, murder, violence, flashback, psychedelic, action, revenge, sci-fi"
"tt0072308"	"The Towering Inferno"	"cult, suspenseful"
"tt1572315"	"Texas Chainsaw 3D"	"revenge, murder, violence, flashback"
"tt1723121"	"We're the Millers"	"humor"
"tt0085356"	"Conquest"	"violence, revenge, cruelty, sadist"
"tt1216520"	"Womb"	"romantic, atmospheric"
"tt0112527"	"Blood & Donuts"	"cult"
"tt0059800"	"Thunderball"	"cult, humor, murder, suspenseful"
"tt0218817"	"Antitrust"	"violence, murder"
"tt0047444"	"Miyamoto Musashi"	"romantic, suspenseful, atmospheric"
"tt0058586"	"A Shot in the Dark"	"comedy, mystery, murder, violence, comic"
"tt0327679"	"Ella Enchanted"	"violence, action, feel-good, fantasy, comic"
"tt0120768"	"The Negotiator"	"comedy, suspenseful, neo noir, murder, psychological, mystery, violence, plot twist, tragedy, revenge"
